seq_id,subject,activity,trial,start_frame,label
0,1,1,1,0,1
1,1,1,1,15,1
2,1,1,1,30,1
3,1,1,1,45,1
4,1,1,1,60,1
5,1,1,1,75,1
6,1,1,1,90,1
7,1,1,1,105,1
8,1,1,1,120,1
9,1,1,1,135,1
10,1,1,1,150,1
11,1,1,1,165,1
12,1,1,2,0,1
13,1,1,2,15,1
14,1,1,2,30,1
15,1,1,2,45,1
16,1,1,2,60,1
17,1,1,2,75,1
18,1,1,2,90,1
19,1,1,2,105,1
20,1,1,2,120,1
21,1,1,2,135,1
22,1,1,2,150,1
23,1,1,3,0,1
24,1,1,3,15,1
25,1,1,3,30,1
26,1,1,3,45,1
27,1,1,3,60,1
28,1,1,3,75,1
29,1,1,3,90,1
30,1,1,3,105,1
31,1,1,3,120,1
32,1,1,3,135,1
33,1,1,3,150,1
34,1,10,1,0,0
35,1,10,1,15,0
36,1,10,1,30,0
37,1,10,1,45,0
38,1,10,1,60,0
39,1,10,1,75,0
40,1,10,1,90,0
41,1,10,1,105,0
42,1,10,1,120,0
43,1,10,1,135,0
44,1,10,1,150,0
45,1,10,1,165,0
46,1,10,1,180,0
47,1,10,1,195,0
48,1,10,1,210,0
49,1,10,1,225,0
50,1,10,1,240,0
51,1,10,1,255,0
52,1,10,1,270,0
53,1,10,1,285,0
54,1,10,1,300,0
55,1,10,1,315,0
56,1,10,1,330,0
57,1,10,1,345,0
58,1,10,1,360,0
59,1,10,1,375,0
60,1,10,1,390,0
61,1,10,1,405,0
62,1,10,1,420,0
63,1,10,1,435,0
64,1,10,1,450,0
65,1,10,1,465,0
66,1,10,1,480,0
67,1,10,1,495,0
68,1,10,2,0,0
69,1,10,2,15,0
70,1,10,2,30,0
71,1,10,2,45,0
72,1,10,2,60,0
73,1,10,2,75,0
74,1,10,2,90,0
75,1,10,2,105,0
76,1,10,2,120,0
77,1,10,2,135,0
78,1,10,2,150,0
79,1,10,2,165,0
80,1,10,2,180,0
81,1,10,2,195,0
82,1,10,2,210,0
83,1,10,2,225,0
84,1,10,2,240,0
85,1,10,2,255,0
86,1,10,2,270,0
87,1,10,2,285,0
88,1,10,2,300,0
89,1,10,2,315,0
90,1,10,2,330,0
91,1,10,2,345,0
92,1,10,2,360,0
93,1,10,2,375,0
94,1,10,2,390,0
95,1,10,2,405,0
96,1,10,2,420,0
97,1,10,2,435,0
98,1,10,2,450,0
99,1,10,2,465,0
100,1,10,2,480,0
101,1,10,2,495,0
102,1,10,3,0,0
103,1,10,3,15,0
104,1,10,3,30,0
105,1,10,3,45,0
106,1,10,3,60,0
107,1,10,3,75,0
108,1,10,3,90,0
109,1,10,3,105,0
110,1,10,3,120,0
111,1,10,3,135,0
112,1,10,3,150,0
113,1,10,3,165,0
114,1,10,3,180,0
115,1,10,3,195,0
116,1,10,3,210,0
117,1,10,3,225,0
118,1,10,3,240,0
119,1,10,3,255,0
120,1,10,3,270,0
121,1,10,3,285,0
122,1,10,3,300,0
123,1,10,3,315,0
124,1,10,3,330,0
125,1,10,3,345,0
126,1,10,3,360,0
127,1,10,3,375,0
128,1,10,3,390,0
129,1,10,3,405,0
130,1,10,3,420,0
131,1,10,3,435,0
132,1,10,3,450,0
133,1,10,3,465,0
134,1,11,1,0,0
135,1,11,1,15,0
136,1,11,1,30,0
137,1,11,1,45,0
